,x,y,confidence
nose,770.3934,394.26837,0.84810126
neck,733.2335,431.48325,0.8893833
rshoulder,705.74585,429.54688,0.81125885
relbow,676.43024,509.9388,0.8652415
rwrist,672.49426,588.24316,0.6641051
lshoulder,762.6216,431.5894,0.8628804
lelbow,770.45416,494.19537,0.7624647
lwrist,776.37146,543.2232,0.5868952
midhip,678.2978,507.85904,0.7142489
rhip,650.8982,505.9823,0.73227644
rknee,697.9446,554.86707,0.78465676
rankle,666.6078,619.64325,0.8379615
lhip,699.9198,507.90753,0.68759346
lknee,770.38635,527.53644,0.80057806
lankle,727.3224,601.9234,0.8892291
reye,760.5554,384.4499,0.9754985
leye,772.37646,384.46817,0.7074467
rear,733.1954,384.44897,0.88423955
lear,0.0,0.0,0.0
lbigtoe,760.6202,617.65173,0.9126812
lsmalltoe,758.68774,613.70966,0.81612283
lheel,713.6056,605.86896,0.80623615
rbigtoe,695.94586,645.0647,0.88146937
rsmalltoe,682.23865,646.9647,0.86372185
rheel,656.82916,627.41205,0.7108002
nose,770.4015,394.2925,0.84621966
neck,733.2656,431.4731,0.88261586
rshoulder,705.7589,429.5339,0.81083083
relbow,678.2786,509.95602,0.8600331
rwrist,672.5061,588.2772,0.6589556
lshoulder,762.6527,431.59143,0.84591323
lelbow,772.3847,494.2649,0.7471144
lwrist,776.3516,545.1486,0.5613145
midhip,676.4245,507.8521,0.71046925
rhip,650.912,505.97638,0.7269424
rknee,697.9791,554.87396,0.79128474
rankle,666.60626,619.6431,0.8362802
lhip,699.892,507.91153,0.69247836
lknee,770.3906,527.4978,0.80711305
lankle,727.32025,601.92035,0.8903017
reye,760.5797,384.471,0.9680173
leye,772.38446,384.48288,0.66517556
rear,733.2396,384.4487,0.8777652
lear,0.0,0.0,0.0
lbigtoe,760.6225,617.6569,0.9115337
lsmalltoe,758.69324,613.71326,0.81256133
lheel,713.6071,605.8683,0.80753565
rbigtoe,695.95276,645.0745,0.88269466
rsmalltoe,682.24164,646.9692,0.86312157
rheel,656.8244,627.40247,0.7105015
nose,770.44806,396.1914,0.8654061
neck,735.1761,431.46902,0.8844093
rshoulder,705.7983,429.58658,0.80746496
relbow,678.2833,509.95975,0.86152005
rwrist,672.51483,588.2926,0.6576897
lshoulder,762.66315,431.5353,0.84359443
lelbow,772.4343,494.16888,0.7106985
lwrist,778.3014,543.2056,0.48336032
midhip,676.368,507.8215,0.7008155
rhip,650.8746,505.97937,0.72923756
rknee,697.9779,554.9269,0.791721
rankle,666.61273,619.644,0.8370446
lhip,698.0012,507.85822,0.6789398
lknee,770.44916,527.5554,0.80296415
lankle,727.3183,601.91724,0.88837004
reye,760.6257,384.5092,0.9631401
leye,774.24414,384.51804,0.61897606
rear,737.1159,384.49036,0.87096894
lear,0.0,0.0,0.0
lbigtoe,760.6174,617.65826,0.9126389
lsmalltoe,758.69165,613.7128,0.8136085
lheel,713.6011,605.8631,0.80514175
rbigtoe,695.94025,645.07654,0.8802311
rsmalltoe,682.2345,646.96625,0.85987127
rheel,656.8387,627.391,0.7103035
nose,772.3547,396.19882,0.8796512
neck,735.1746,431.49164,0.88415676
rshoulder,705.78357,431.44672,0.80454767
relbow,678.2885,509.96637,0.8595315
rwrist,674.4213,588.2982,0.65309197
lshoulder,762.6519,431.53192,0.8444208
lelbow,774.2459,494.17856,0.7043624
lwrist,780.20746,543.21545,0.4506119
midhip,676.37524,507.82907,0.7081341
rhip,650.8887,507.8228,0.7356243
rknee,697.99945,554.9061,0.79142606
rankle,666.6152,619.63715,0.8390278
lhip,698.00604,507.85098,0.67933166
lknee,770.46405,527.57947,0.7975266
lankle,727.3198,601.9083,0.88930285
reye,760.6634,384.52264,0.95640683
leye,774.28436,384.50998,0.608457
rear,737.13586,384.5144,0.8697255
lear,0.0,0.0,0.0
lbigtoe,760.6251,617.65717,0.91079754
lsmalltoe,758.6986,613.70746,0.811047
lheel,713.60767,605.85486,0.8147221
rbigtoe,695.93744,645.0645,0.8778339
rsmalltoe,682.22986,646.9563,0.8554281
rheel,658.7319,625.4994,0.712217
nose,772.3901,396.19415,0.88536036
neck,735.17865,431.5185,0.8831568
rshoulder,705.78503,431.49097,0.80524135
relbow,678.28595,509.9747,0.85710824
rwrist,674.42694,588.3214,0.6561759
lshoulder,762.6565,431.54065,0.8438441
lelbow,772.42706,494.16846,0.70847064
lwrist,780.2573,543.16113,0.44681397
midhip,676.41534,507.84805,0.71943283
rhip,650.92194,507.85736,0.7463408
rknee,698.02057,554.92267,0.79149675
rankle,666.62305,619.61896,0.83929217
lhip,699.9019,507.84924,0.6796428
lknee,772.34155,527.5869,0.8090884
lankle,727.31256,601.913,0.8928921
reye,760.6857,384.51874,0.95363504
leye,774.308,384.50797,0.57798994
rear,737.1159,384.52277,0.87013304
lear,0.0,0.0,0.0
lbigtoe,760.616,617.6686,0.9113332
lsmalltoe,758.69666,613.7148,0.8127137
lheel,713.60583,605.8501,0.81616896
rbigtoe,695.9312,645.0828,0.87912
rsmalltoe,682.22186,646.9577,0.8537059
rheel,658.74146,625.46387,0.7111829
nose,772.4214,396.18842,0.8875981
neck,735.19696,431.5496,0.8806511
rshoulder,705.7987,431.5087,0.80474705
relbow,678.3068,509.96625,0.8671263
rwrist,672.5156,588.29504,0.66172135
lshoulder,764.5538,431.5761,0.8293456
lelbow,772.3924,494.15317,0.6859522
lwrist,780.2461,541.27216,0.4226235
midhip,678.2922,507.8396,0.7227033
rhip,650.9361,507.84515,0.7468248
rknee,698.0037,555.00165,0.7950956
rankle,666.6167,619.6291,0.8420924
lhip,699.9036,507.83615,0.6830132
lknee,772.3195,527.56445,0.80835795
lankle,727.31506,601.91046,0.8937249
reye,760.7015,384.52072,0.9498696
leye,774.3312,384.50482,0.5822065
rear,737.0991,384.54968,0.86039454
lear,0.0,0.0,0.0
lbigtoe,760.62415,617.6736,0.90876883
lsmalltoe,758.7013,613.7225,0.81329167
lheel,713.6138,605.84717,0.812519
rbigtoe,695.93964,645.08234,0.87741876
rsmalltoe,682.22974,646.9611,0.8549191
rheel,658.7373,625.4763,0.71092474
nose,774.2553,396.21506,0.89879775
neck,737.09247,431.57214,0.87563074
rshoulder,705.8051,431.51425,0.8068386
relbow,678.32733,509.96454,0.87152755
rwrist,674.3974,588.29065,0.65957
lshoulder,764.5915,431.61838,0.8135648
lelbow,772.39716,494.151,0.6657942
lwrist,780.2421,541.2496,0.41466188
midhip,678.3281,507.85754,0.7353177
rhip,650.95966,507.85098,0.7487052
rknee,698.0006,556.8181,0.7938466
rankle,666.6146,619.627,0.8422257
lhip,699.9441,507.85706,0.6883039
lknee,772.3322,529.4532,0.8009646
lankle,727.30743,601.9117,0.89132035
reye,760.7179,384.54147,0.94340724
leye,774.3594,384.52103,0.60328496
rear,737.0988,384.5741,0.8560227
lear,0.0,0.0,0.0
lbigtoe,760.6233,617.67883,0.90988815
lsmalltoe,758.6984,613.73,0.8120858
lheel,713.60254,605.8476,0.8067741
rbigtoe,695.93787,645.07806,0.87710714
rsmalltoe,682.22345,646.9616,0.8547502
rheel,658.7332,625.47144,0.71004516
nose,774.2718,396.22528,0.905005
neck,737.10706,431.5606,0.87799054
rshoulder,707.6987,431.48895,0.8114574
relbow,678.33075,509.95746,0.87221813
rwrist,674.39575,588.3107,0.6545711
lshoulder,764.59924,431.61102,0.81616414
lelbow,772.40204,494.14154,0.66912633
lwrist,780.2748,541.23413,0.41327047
midhip,678.33264,507.86478,0.74104
rhip,650.9664,507.853,0.7498127
rknee,698.0072,554.9648,0.7905869
rankle,666.62134,619.6367,0.83748287
lhip,699.94214,507.86813,0.69763607
lknee,772.3213,529.4413,0.8032313
lankle,727.3053,601.90955,0.89023197
reye,760.73236,384.56213,0.9352566
leye,774.3832,384.53757,0.6354676
rear,737.12836,386.43484,0.85030437
lear,0.0,0.0,0.0
lbigtoe,760.6329,617.67633,0.90706086
lsmalltoe,758.7024,613.72485,0.80881345
lheel,713.5963,605.8449,0.8089005
rbigtoe,695.94775,646.93445,0.8776861
rsmalltoe,682.228,646.96967,0.8544976
rheel,658.74115,625.4909,0.709397
nose,774.2974,396.25046,0.9187138
neck,737.12085,431.561,0.8809968
rshoulder,707.7012,431.48642,0.8142697
relbow,678.3143,509.9739,0.86453706
rwrist,674.39886,590.1748,0.65320605
lshoulder,766.49646,431.61218,0.81820554
lelbow,772.41174,494.15012,0.6800354
lwrist,780.2665,541.2567,0.42736968
midhip,678.3416,507.8622,0.74122083
rhip,650.97345,507.8477,0.7472639
rknee,698.0245,554.9515,0.7919317
rankle,666.6234,619.6371,0.8359681
lhip,699.9501,507.87076,0.69630426
lknee,772.3502,527.57635,0.81701845
lankle,727.303,601.9144,0.89250004
reye,760.7498,384.59,0.9266799
leye,774.4235,384.55365,0.70151573
rear,739.0525,386.47586,0.8460772
lear,0.0,0.0,0.0
lbigtoe,760.6431,617.691,0.90368736
lsmalltoe,758.7111,613.737,0.8086536
lheel,713.59216,605.85236,0.80576515
rbigtoe,695.9367,646.93353,0.8772297
rsmalltoe,682.2182,646.96606,0.8540548
rheel,658.7403,625.492,0.70863783
nose,774.378,396.17328,0.91322917
neck,739.0677,433.46008,0.86287004
rshoulder,707.74585,431.50558,0.81991696
relbow,680.2308,509.96417,0.8666468
rwrist,676.3987,590.22626,0.5501629
lshoulder,770.41693,437.357,0.7865003
lelbow,774.307,498.09363,0.67367715
lwrist,778.27783,545.1354,0.53541076
midhip,678.3132,505.92514,0.7166505
rhip,650.9304,503.97247,0.7394844
rknee,699.87714,543.19025,0.74572426
rankle,666.67267,619.6167,0.8265442
lhip,701.849,507.85486,0.6811189
lknee,768.46924,525.5469,0.82457644
lankle,727.3192,601.9158,0.8919538
reye,762.62366,384.51993,0.92570895
leye,776.2437,384.48715,0.6642635
rear,740.97437,386.46417,0.8508204
lear,0.0,0.0,0.0
lbigtoe,760.6612,617.71246,0.8979546
lsmalltoe,758.7302,615.6036,0.8196581
lheel,713.59406,605.87744,0.8017163
rbigtoe,695.9545,646.9537,0.86995184
rsmalltoe,682.2213,646.99054,0.8481797
rheel,658.794,627.39966,0.7213879
nose,774.3443,390.33505,0.8917778
neck,739.08813,433.4645,0.859507
rshoulder,705.7998,431.58203,0.7947558
relbow,680.3597,509.9008,0.851129
rwrist,680.2299,586.3268,0.54014754
lshoulder,772.3212,435.39697,0.80259657
lelbow,774.3732,494.1846,0.8031072
lwrist,780.21545,541.2928,0.7255132
midhip,674.427,500.04364,0.68206906
rhip,649.0403,498.15256,0.74605435
rknee,705.78534,537.24994,0.78621286
rankle,668.53394,619.6088,0.8167424
lhip,697.9903,502.0314,0.6295001
lknee,766.5014,523.5696,0.8302148
lankle,727.3375,601.93555,0.8949705
reye,760.7557,382.5874,0.95276546
leye,774.3906,382.5147,0.6718482
rear,739.05804,384.54593,0.858431
lear,0.0,0.0,0.0
lbigtoe,760.69324,619.533,0.89934
lsmalltoe,760.5733,615.6509,0.8279857
lheel,713.607,605.929,0.78874224
rbigtoe,695.9582,645.0853,0.8643184
rsmalltoe,682.22766,646.9751,0.83759004
rheel,660.7329,627.43146,0.7330149
nose,774.34454,390.3355,0.8919314
neck,739.08856,433.46332,0.8595186
rshoulder,705.7983,431.58145,0.79495496
relbow,680.3598,509.89804,0.85198975
rwrist,680.23004,586.32477,0.5419301
lshoulder,772.322,435.39688,0.8027011
lelbow,774.372,494.18356,0.80096865
lwrist,780.22485,541.288,0.7173836
midhip,674.40894,498.1545,0.6840404
rhip,649.0415,498.14474,0.74800795
rknee,705.78284,537.2535,0.78676534
rankle,668.5296,619.60565,0.8167833
lhip,697.9822,502.0155,0.6291548
lknee,766.50366,523.5734,0.8310102
lankle,727.33673,601.94,0.89533573
reye,760.7565,382.58755,0.9526243
leye,774.39136,382.5162,0.6704756
rear,739.05756,384.54462,0.85799485
lear,0.0,0.0,0.0
lbigtoe,760.6935,619.5268,0.89930993
lsmalltoe,760.5705,615.6462,0.8271713
lheel,713.6078,605.93604,0.78855443
rbigtoe,695.9613,646.937,0.8642236
rsmalltoe,682.22784,646.9786,0.8378428
rheel,660.73285,627.42505,0.7308378
nose,774.33545,384.5901,0.9358605
neck,737.1586,431.53143,0.8700313
rshoulder,703.7946,431.5638,0.79060763
relbow,682.2883,511.88467,0.86680603
rwrist,680.3265,586.32904,0.7128961
lshoulder,768.4975,431.52032,0.83130044
lelbow,774.30426,492.2515,0.8582869
lwrist,780.25085,539.33954,0.8311653
midhip,670.54926,494.2849,0.68511075
rhip,648.99335,496.1725,0.76849073
rknee,709.64185,529.49316,0.7713038
rankle,666.7182,619.5934,0.81894374
lhip,697.9442,494.23038,0.61559474
lknee,760.64966,523.5562,0.88189423
lankle,727.34314,601.9417,0.90565264
reye,762.57043,380.60522,0.916725
leye,774.3863,380.54483,0.61661655
rear,741.0247,382.4952,0.8848867
lear,0.0,0.0,0.0
lbigtoe,760.65234,619.51855,0.91540843
lsmalltoe,758.7437,615.6453,0.8452071
lheel,713.64886,605.92926,0.7965602
rbigtoe,695.9755,646.93585,0.86360604
rsmalltoe,682.2549,646.9699,0.82579577
rheel,660.73694,625.5001,0.73052305
nose,774.3341,382.5424,0.95199907
neck,735.1613,429.56607,0.8637014
rshoulder,699.9571,431.43155,0.8111424
relbow,682.3648,509.8584,0.8582156
rwrist,680.2702,586.2545,0.7012472
lshoulder,766.50305,429.52786,0.82907295
lelbow,772.32355,488.33807,0.7571206
lwrist,780.20526,539.15894,0.795967
midhip,674.4674,492.297,0.7061672
rhip,648.9952,494.15887,0.8047714
rknee,709.643,525.6503,0.76833767
rankle,666.70337,619.55023,0.82582384
lhip,699.9529,492.2339,0.66522443
lknee,758.72363,523.63055,0.93113875
lankle,727.3606,601.90717,0.91490346
reye,760.7525,372.78775,0.87982
leye,774.37897,370.8623,0.57910484
rear,737.127,380.51138,0.8424015
lear,0.0,0.0,0.0
lbigtoe,760.64624,619.52124,0.94094443
lsmalltoe,760.565,615.6308,0.8735047
lheel,713.66754,605.9233,0.7865263
rbigtoe,695.9176,646.94135,0.8652852
rsmalltoe,680.3789,646.954,0.8201914
rheel,660.7507,623.5492,0.7335782
nose,770.4302,364.8586,0.8682815
neck,733.24866,413.90375,0.8763778
rshoulder,699.8884,415.76282,0.83311707
relbow,682.2684,494.19943,0.89155364
rwrist,678.2823,560.78406,0.68685097
lshoulder,764.5748,413.87384,0.84003925
lelbow,770.4055,470.71103,0.7827157
lwrist,776.4206,523.6372,0.89518666
midhip,668.5898,468.7263,0.66600376
rhip,646.9971,468.70413,0.74752796
rknee,695.98804,527.4896,0.7371888
rankle,666.6464,619.5858,0.85064214
lhip,697.9603,472.6555,0.61789125
lknee,746.9647,509.9613,0.84648275
lankle,727.42365,599.99426,0.919519
reye,758.7516,353.25595,0.9578661
leye,770.46967,353.18005,0.6093889
rear,735.13983,364.89236,0.8288384
lear,0.0,0.0,0.0
lbigtoe,760.71686,619.5382,0.9187919
lsmalltoe,760.6887,615.6098,0.8533537
lheel,715.5567,605.8535,0.8144984
rbigtoe,695.94977,646.96277,0.8830222
rsmalltoe,682.2278,647.02356,0.842727
rheel,660.69055,627.4507,0.731153
nose,770.4364,355.08743,0.88118726
neck,733.1932,411.90805,0.8483187
rshoulder,697.97015,411.94598,0.82369924
relbow,682.2364,490.22485,0.8468015
rwrist,678.3304,552.91656,0.7544958
lshoulder,764.57837,411.88464,0.79819953
lelbow,766.491,462.9034,0.8327935
lwrist,776.365,519.6839,0.879774
midhip,666.66534,464.80347,0.72121465
rhip,646.9497,462.9307,0.77394485
rknee,694.05365,525.61127,0.7615552
rankle,666.5699,619.5837,0.88198245
lhip,695.97015,468.7517,0.6368322
lknee,744.9996,509.87933,0.8960144
lankle,727.40656,599.9453,0.91355574
reye,758.7112,351.1561,0.9690211
leye,770.4403,351.0762,0.48827258
rear,731.3267,357.09207,0.82855856
lear,0.0,0.0,0.0
lbigtoe,760.70337,619.5994,0.8992553
lsmalltoe,760.73425,615.6214,0.83577174
lheel,715.55304,605.8302,0.80231667
rbigtoe,695.9408,646.9528,0.88026154
rsmalltoe,682.2084,647.0198,0.8420269
rheel,658.73517,629.34015,0.7520266
nose,770.4375,355.08817,0.8811012
neck,733.19464,411.90808,0.84794426
rshoulder,697.97125,411.94733,0.8236344
relbow,682.2376,490.22803,0.8469285
rwrist,678.3312,552.9184,0.7555262
lshoulder,764.57886,411.8828,0.79758793
lelbow,766.4944,462.90332,0.8320891
lwrist,776.3646,519.6846,0.87966794
midhip,666.6606,464.79843,0.7219545
rhip,645.087,462.91797,0.7737956
rknee,694.05396,525.6119,0.761549
rankle,666.56995,619.5837,0.8818611
lhip,695.9669,468.7449,0.63503104
lknee,744.99915,509.8791,0.8960648
lankle,727.40643,599.9443,0.9133169
reye,758.712,351.15585,0.9689336
leye,770.4408,351.07544,0.485363
rear,731.3265,357.09528,0.82852393
lear,0.0,0.0,0.0
lbigtoe,760.7012,619.59973,0.8989916
lsmalltoe,760.73254,615.62256,0.836231
lheel,715.5531,605.8293,0.80193895
rbigtoe,695.94037,646.9521,0.8798603
rsmalltoe,682.2081,647.01874,0.8422572
rheel,658.7355,629.3389,0.75067425
nose,768.4699,349.20404,0.860955
neck,735.1824,400.144,0.8804186
rshoulder,699.93463,398.27164,0.82283115
relbow,680.38763,478.48297,0.8942536
rwrist,676.3507,539.33215,0.7790741
lshoulder,768.4549,400.19962,0.82694304
lelbow,766.5053,458.93097,0.810681
lwrist,776.3212,511.8476,0.88196135
midhip,672.48315,462.80164,0.7178302
rhip,647.01886,460.93845,0.7918402
rknee,686.22894,529.47797,0.7138461
rankle,666.599,619.61993,0.87480325
lhip,699.89984,462.9367,0.6777412
lknee,743.00543,509.82443,0.8982045
lankle,727.42584,601.9059,0.92445314
reye,758.6649,339.44058,0.9253554
leye,766.54834,337.53046,0.55781734
rear,731.3057,351.1978,0.90383863
lear,0.0,0.0,0.0
lbigtoe,760.74146,619.63,0.86305666
lsmalltoe,760.73584,615.678,0.8077686
lheel,715.5797,607.8179,0.7800755
rbigtoe,695.9642,645.0594,0.88594097
rsmalltoe,682.2306,647.01886,0.84498614
rheel,658.7884,631.2791,0.7687201
nose,768.4831,339.43073,0.8727981
neck,733.24335,398.12057,0.86698675
rshoulder,698.0426,396.2212,0.8064185
relbow,680.3364,470.71945,0.8769082
rwrist,676.3551,535.3693,0.77362293
lshoulder,764.59283,398.23367,0.84040105
lelbow,762.6484,451.07675,0.82519245
lwrist,774.3241,503.98898,0.84524274
midhip,676.3735,455.03394,0.6759362
rhip,647.0453,451.09988,0.73819053
rknee,684.2244,525.62317,0.7619246
rankle,666.61316,619.5554,0.882967
lhip,705.79956,460.81778,0.6842511
lknee,741.0293,511.85962,0.8400633
lankle,729.207,600.0129,0.92878324
reye,758.67316,335.51654,0.97789633
leye,766.5099,333.57568,0.4413526
rear,731.32477,345.28943,0.8304229
lear,0.0,0.0,0.0
lbigtoe,760.724,619.6031,0.875932
lsmalltoe,760.73956,615.60803,0.81921023
lheel,715.61273,605.90643,0.7913674
rbigtoe,695.889,645.02356,0.87651247
rsmalltoe,680.3327,646.9465,0.830407
rheel,662.6356,627.4254,0.77281266
nose,764.6081,333.50412,0.857571
neck,733.20154,386.45056,0.85145885
rshoulder,699.87415,386.43063,0.8081534
relbow,680.3429,464.78882,0.88403225
rwrist,678.2932,525.60583,0.8080019
lshoulder,762.65875,386.47272,0.826009
lelbow,764.5257,445.13626,0.85763246
lwrist,774.2541,494.26773,0.8918535
midhip,672.4731,447.2208,0.71421117
rhip,646.96533,447.1495,0.7796369
rknee,680.2338,527.5283,0.79544634
rankle,666.62805,619.56116,0.89489067
lhip,701.87695,449.16403,0.6769363
lknee,731.33167,509.895,0.83196384
lankle,727.40607,599.9383,0.91354185
reye,758.5797,323.755,0.90474653
leye,762.651,321.82193,0.6172206
rear,729.4017,335.5901,0.9049073
lear,0.0,0.0,0.0
lbigtoe,760.6952,619.58545,0.8976429
lsmalltoe,760.70886,613.7317,0.82965535
lheel,715.58875,605.8671,0.80541086
rbigtoe,694.05835,645.06036,0.877841
rsmalltoe,680.3183,646.9745,0.831208
rheel,662.6787,629.35254,0.80542123
nose,764.53564,321.76083,0.9011457
neck,735.1703,380.58926,0.8452778
rshoulder,699.95306,380.5148,0.7747495
relbow,680.26245,457.0011,0.8612827
rwrist,672.4735,517.692,0.7490054
lshoulder,766.5103,382.48447,0.8328793
lelbow,760.7341,437.35342,0.8629973
lwrist,772.3605,490.26633,0.86326796
midhip,676.36334,445.2081,0.74126923
rhip,648.8801,445.14877,0.753547
rknee,680.2007,525.5508,0.837143
rankle,666.6078,619.5427,0.90497756
lhip,701.8456,447.11917,0.72414887
lknee,729.23114,509.83466,0.86657876
lankle,727.37,598.06726,0.89432544
reye,756.732,317.8643,0.89421433
leye,762.63513,313.98773,0.45626748
rear,729.3629,323.81097,0.8671037
lear,0.0,0.0,0.0
lbigtoe,760.67554,619.55316,0.89246273
lsmalltoe,760.669,613.69073,0.82829756
lheel,715.5813,605.89166,0.8063648
rbigtoe,694.03204,645.00946,0.851812
rsmalltoe,680.2807,646.94946,0.8234491
rheel,662.6887,629.3699,0.8102545
nose,764.54333,310.0752,0.8372082
neck,735.16565,368.86035,0.8529394
rshoulder,701.8577,368.76318,0.8095633
relbow,680.30334,445.28537,0.90605605
rwrist,668.5464,511.79636,0.811214
lshoulder,762.6726,370.77966,0.81702495
lelbow,760.7136,429.61884,0.904487
lwrist,772.383,482.477,0.8330163
midhip,676.37854,439.33746,0.7350755
rhip,648.9205,433.4831,0.75747514
rknee,676.4223,523.5623,0.83811104
rankle,666.5773,619.5128,0.916309
lhip,699.8997,443.2874,0.75914615
lknee,727.3221,511.88467,0.8726769
lankle,727.338,599.9855,0.8958003
reye,756.75525,306.0804,0.9213439
leye,762.5818,304.21048,0.39805612
rear,729.3854,319.76505,0.85679746
lear,0.0,0.0,0.0
lbigtoe,760.638,619.51086,0.92512274
lsmalltoe,760.6327,613.65735,0.84259844
lheel,715.6011,607.8509,0.7684747
rbigtoe,694.0579,645.0144,0.8720632
rsmalltoe,680.29834,646.94714,0.8361457
rheel,662.64124,629.3539,0.7991343
nose,762.6207,302.1772,0.8733122
neck,735.13837,359.04318,0.78903276
rshoulder,701.8346,358.99686,0.78220356
relbow,680.2491,435.4254,0.8433292
rwrist,666.65,498.15826,0.8238422
lshoulder,762.6627,362.9194,0.7851696
lelbow,760.62714,419.75848,0.8674856
lwrist,768.50305,476.46906,0.8475789
midhip,678.2859,433.51297,0.7909061
rhip,649.01447,431.56018,0.8283208
rknee,676.38806,517.7231,0.81140125
rankle,666.5634,617.6548,0.90809715
lhip,699.8854,437.35333,0.76850736
lknee,725.39996,507.97784,0.8513707
lankle,727.3063,598.032,0.86388326
reye,756.64526,292.4081,0.8616003
leye,760.67035,290.49637,0.38511363
rear,727.39136,308.0513,0.8701392
lear,0.0,0.0,0.0
lbigtoe,760.6014,617.6389,0.9281855
lsmalltoe,760.5798,609.8163,0.845248
lheel,715.56934,605.93066,0.7637448
rbigtoe,695.89606,645.0434,0.861688
rsmalltoe,680.3095,646.9561,0.8315916
rheel,660.7085,627.38904,0.79924303
nose,758.7275,290.45633,0.8637457
neck,731.26495,351.12244,0.8573526
rshoulder,699.91614,351.17804,0.81786346
relbow,678.3859,427.5767,0.8175119
rwrist,666.5406,490.26385,0.87860245
lshoulder,762.5821,351.12305,0.8202732
lelbow,760.6394,409.94162,0.8301614
lwrist,766.5213,464.77863,0.8111299
midhip,678.36957,431.59702,0.8073546
rhip,650.89343,431.535,0.8230242
rknee,680.1973,513.7896,0.83108497
rankle,666.6182,617.6768,0.89043313
lhip,701.84094,433.47327,0.7609449
lknee,727.3501,507.9773,0.88675714
lankle,727.3135,599.956,0.8829805
reye,746.8964,286.53705,0.81561494
leye,758.59766,284.55124,0.3807636
rear,719.5316,300.223,0.77269596
lear,0.0,0.0,0.0
lbigtoe,760.6504,617.68524,0.928454
lsmalltoe,760.6441,611.7752,0.8492601
